utc_timestamp,AT_temperature,AT_radiation_direct_horizontal,AT_radiation_diffuse_horizontal,BE_temperature,BE_radiation_direct_horizontal,BE_radiation_diffuse_horizontal,BG_temperature,BG_radiation_direct_horizontal,BG_radiation_diffuse_horizontal,CH_temperature,CH_radiation_direct_horizontal,CH_radiation_diffuse_horizontal,CZ_temperature,CZ_radiation_direct_horizontal,CZ_radiation_diffuse_horizontal,DE_temperature,DE_radiation_direct_horizontal,DE_radiation_diffuse_horizontal,DK_temperature,DK_radiation_direct_horizontal,DK_radiation_diffuse_horizontal,EE_temperature,EE_radiation_direct_horizontal,EE_radiation_diffuse_horizontal,ES_temperature,ES_radiation_direct_horizontal,ES_radiation_diffuse_horizontal,FI_temperature,FI_radiation_direct_horizontal,FI_radiation_diffuse_horizontal,FR_temperature,FR_radiation_direct_horizontal,FR_radiation_diffuse_horizontal,GB_temperature,GB_radiation_direct_horizontal,GB_radiation_diffuse_horizontal,GR_temperature,GR_radiation_direct_horizontal,GR_radiation_diffuse_horizontal,HR_temperature,HR_radiation_direct_horizontal,HR_radiation_diffuse_horizontal,HU_temperature,HU_radiation_direct_horizontal,HU_radiation_diffuse_horizontal,IE_temperature,IE_radiation_direct_horizontal,IE_radiation_diffuse_horizontal,IT_temperature,IT_radiation_direct_horizontal,IT_radiation_diffuse_horizontal,LT_temperature,LT_radiation_direct_horizontal,LT_radiation_diffuse_horizontal,LU_temperature,LU_radiation_direct_horizontal,LU_radiation_diffuse_horizontal,LV_temperature,LV_radiation_direct_horizontal,LV_radiation_diffuse_horizontal,NL_temperature,NL_radiation_direct_horizontal,NL_radiation_diffuse_horizontal,NO_temperature,NO_radiation_direct_horizontal,NO_radiation_diffuse_horizontal,PL_temperature,PL_radiation_direct_horizontal,PL_radiation_diffuse_horizontal,PT_temperature,PT_radiation_direct_horizontal,PT_radiation_diffuse_horizontal,RO_temperature,RO_radiation_direct_horizontal,RO_radiation_diffuse_horizontal,SE_temperature,SE_radiation_direct_horizontal,SE_radiation_diffuse_horizontal,SI_temperature,SI_radiation_direct_horizontal,SI_radiation_diffuse_horizontal,SK_temperature,SK_radiation_direct_horizontal,SK_radiation_diffuse_horizontal
1980-01-01T00:00:00Z,-3.64,0,0,-0.72,0,0,4.664,0,0,-6.287,0,0,-3.422,0,0,-1.261,0,0,-1.87,0,0,-7.06,0,0,8.066,0,0,-6.254,0,0,-0.537,0,0,-1.249,0,0,9.912,0,0,-0.88,0,0,-3.021,0,0,1.292,0,0,0.301,0,0,-6.541,0,0,-5.15,0,0,-7.166,0,0,2.382,0,0,-7.038,0,0,-3.721,0,0,12.862,0,0,-0.031,0,0,-3.945,0,0,-3.055,0,0,-4.648,0,0
1980-01-01T01:00:00Z,-3.803,0,0,-1.165,0,0,4.052,0,0,-6.602,0,0,-3.36,0,0,-1.414,0,0,-1.914,0,0,-7.341,0,0,7.96,0,0,-6.232,0,0,-0.489,0,0,-1.377,0,0,9.369,0,0,-0.888,0,0,-2.793,0,0,1.121,0,0,0.145,0,0,-6.509,0,0,-5.333,0,0,-7.371,0,0,2.236,0,0,-6.941,0,0,-3.806,0,0,12.757,0,0,0.311,0,0,-4.053,0,0,-3.272,0,0,-4.554,0,0
1980-01-01T02:00:00Z,-3.969,0,0,-1.434,0,0,3.581,0,0,-6.981,0,0,-3.429,0,0,-1.571,0,0,-1.976,0,0,-7.591,0,0,8.008,0,0,-6.343,0,0,-0.391,0,0,-1.449,0,0,9.056,0,0,-0.95,0,0,-2.597,0,0,0.98,0,0,-0.029,0,0,-6.416,0,0,-5.167,0,0,-7.342,0,0,2.086,0,0,-6.856,0,0,-3.868,0,0,12.674,0,0,0.568,0,0,-4.129,0,0,-3.639,0,0,-4.455,0,0
1980-01-01T03:00:00Z,-4.076,0,0,-1.843,0,0,3.197,0,0,-7.368,0,0,-3.697,0,0,-1.76,0,0,-2.04,0,0,-7.716,0,0,8.065,0,0,-6.55,0,0,-0.354,0,0,-1.481,0,0,8.658,0,0,-1.157,0,0,-2.568,0,0,0.944,0,0,-0.191,0,0,-6.197,0,0,-5.105,0,0,-7.206,0,0,1.861,0,0,-6.761,0,0,-3.934,0,0,12.622,0,0,0.61,0,0,-4.139,0,0,-4.202,0,0,-4.421,0,0
1980-01-01T04:00:00Z,-4.248,0,0,-2.094,0,0,2.75,0,0,-7.849,0,0,-4.081,0,0,-1.995,0,0,-2.106,0,0,-7.638,0,0,8.009,0,0,-6.722,0,0,-0.354,0,0,-1.433,0,0,8.335,0,0,-1.468,0,0,-2.689,0,0,0.91,0,0,-0.275,0,0,-5.899,0,0,-5.218,0,0,-7.073,0,0,1.713,0,0,-6.569,0,0,-4.064,0,0,12.522,0,0,0.462,0,0,-4.239,0,0,-4.732,0,0,-4.449,0,0
1980-01-01T05:00:00Z,-4.527,0,0,-2.06,0,0,2.397,0.0102,0.3956,-8.112,0,0,-4.177,0,0,-2.19,0,0,-2.137,0,0,-7.432,0,0,7.95,0,0,-6.821,0,0,-0.397,0,0,-1.426,0,0,8.069,0.0521,1.3162,-1.738,0,0,-2.806,0,0,0.903,0,0,-0.282,0,0,-5.704,0,0,-5.298,0,0,-6.864,0,0,1.596,0,0,-6.561,0,0,-4.195,0,0,12.393,0,0,0.158,0.0005,0.0514,-4.335,0,0,-5.155,0,0,-4.517,0,0
1980-01-01T06:00:00Z,-4.84,0.0239,0.4413,-1.88,0,0,2.487,2.1147,33.8837,-7.998,0,0,-4.192,0.0038,0.1368,-2.316,0,0,-2.156,0,0,-7.314,0,0,7.807,0,0,-6.876,0,0,-0.421,0,0.0008,-1.482,0,0,8.066,3.4501,42.1298,-1.989,0.1931,3.0941,-2.915,0.0401,2.1752,0.89,0,0,-0.184,0.8428,4.3465,-5.704,0.0087,0.2559,-5.423,0,0,-6.753,0.0019,0.0483,1.505,0,0,-6.634,0,0,-4.312,0.011,0.4919,12.229,0,0,-0.162,0.2407,12.0231,-4.384,0,0,-5.416,0.1808,1.332,-4.607,0.0426,1.7088
1980-01-01T07:00:00Z,-4.703,4.6844,33.5061,-1.779,0.0168,0.57,2.927,6.659,86.1208,-7.701,0.6893,10.7658,-3.951,1.6139,23.4181,-2.439,0.1648,4.9126,-2.173,0.0066,0.2932,-7.221,0.276,5.7,7.759,0.7364,6.3074,-6.941,0.0141,0.7144,-0.404,0.1223,3.3003,-1.579,0,0,8.347,18.9413,114.2656,-1.456,9.6194,52.0494,-2.801,0.8621,29.319,0.796,0,0,0.839,27.6209,48.0977,-5.474,0.9448,18.2143,-5.294,0.0849,2.4994,-6.636,0.9034,13.4459,1.321,0.0018,0.1485,-6.804,0,0,-4.174,0.6938,19.1518,12.043,0.0113,0.1238,-0.258,1.0967,42.8109,-4.468,0.0043,0.2284,-4.393,25.4063,42.5939,-4.254,1.1625,29.9951
1980-01-01T08:00:00Z,-3.835,30.1528,90.8233,-1.09,1.0475,24.1737,3.023,10.398,126.1215,-6.669,8.6186,64.3156,-2.905,9.1172,74.3132,-2.204,2.0364,38.6062,-2.034,0.8823,18.4301,-6.779,2.6294,32.1775,8.651,10.7892,58.9658,-6.857,0.5006,12.0654,0.29,2.2864,38.0841,-1.584,0.2142,5.8579,8.663,44.562,172.8768,0.038,41.5841,106.2609,-2.354,3.0385,68.5157,0.734,0.0065,0.3066,2.8,102.943,88.3141,-4.654,4.0573,51.4073,-4.54,2.0921,36.0938,-6.015,5.3815,47.2635,1.298,0.2223,12.5921,-6.861,0.1315,2.2299,-3.534,3.1822,56.4284,12.381,11.2534,36.8352,-0.215,2.8222,79.1826,-4.362,0.5903,12.8326,-2.011,115.8052,68.345,-3.54,3.9085,70.0679
1980-01-01T09:00:00Z,-2.804,61.2307,126.7209,-0.234,2.9362,56.8181,2.973,14.6932,156.2957,-4.766,38.955,118.8721,-1.887,15.098,109.3193,-1.616,6.3773,78.7816,-1.543,4.5477,52.5683,-6.188,6.5141,54.089,9.879,46.3259,124.4891,-6.585,1.3634,26.0927,1.284,8.3023,87.9055,-1.122,2.222,37.5279,9.012,63.311,206.2148,1.313,110.1433,130.2701,-1.577,6.5318,104.2677,0.962,1.315,22.42,4.352,181.9109,105.704,-3.897,11.1061,82.411,-3.647,9.1215,85.3981,-5.188,8.6868,67.2355,1.608,0.9646,38.4399,-6.787,2.3621,20.9055,-2.746,6.0893,85.6403,13.423,76.8389,92.9476,-0.092,5.5566,111.5644,-3.875,2.3433,36.1262,0.107,222.8144,66.6851,-2.733,7.6644,103.7281
1980-01-01T10:00:00Z,-2.124,82.8334,143.7884,0.507,6.5616,89.9512,2.928,17.0849,166.8176,-3.318,95.9476,140.3777,-1.095,17.1473,126.1806,-1.015,14.3075,113.1343,-0.982,9.1116,76.4461,-5.729,6.9673,58.0843,11.146,106.8132,161.6268,-6.435,1.8711,31.3267,2.2,19.3754,132.7255,-0.465,8.6616,77.9934,9.139,76.442,217.342,2.178,186.2807,121.1125,-0.757,12.07,131.8954,1.654,15.2533,72.1568,5.573,257.7537,102.5782,-3.364,15.0449,92.4655,-2.966,14.7153,115.9559,-4.651,15.2646,80.211,1.894,2.1287,63.5783,-6.602,7.0317,39.7611,-2.033,7.6075,98.8298,14.05,176.8817,114.6286,0.181,11.1742,141.546,-3.412,4.2763,51.5722,0.945,279.8187,65.1479,-2.038,12.4417,126.5117
1980-01-01T11:00:00Z,-1.769,84.4939,144.549,1.097,11.6832,112.8793,2.493,16.8537,156.6806,-2.556,129.6515,139.8367,-0.651,14.7525,122.4407,-0.575,19.4516,125.1537,-0.603,10.7005,82.4257,-5.577,4.7303,46.6887,12.372,188.6624,162.7991,-6.594,1.088,22.4359,2.823,23.2392,149.147,0.074,19.5771,106.0663,9.081,83.4556,204.9517,2.8,221.2288,103.4297,-0.125,16.9722,138.2237,2.209,53.5531,98.7056,6.364,277.9811,98.713,-3.123,10.557,79.6047,-2.27,14.0695,121.775,-4.485,10.2834,67.1689,2.15,2.7627,74.3584,-6.436,9.3429,45.6397,-1.617,6.7547,92.9695,14.571,267.8209,117.0959,0.277,10.7858,130.3019,-3.167,4.5231,52.1099,1.385,288.4893,62.4112,-1.578,15.2957,128.8335
1980-01-01T12:00:00Z,-1.7,58.398,129.5314,1.46,13.8024,112.9438,1.676,13.9157,127.137,-2.237,97.9091,141.0835,-0.518,9.5973,99.462,-0.393,14.6098,109.9835,-0.513,7.9684,69.6565,-5.902,1.3911,21.5189,13.27,251.1216,143.149,-6.977,0.2304,6.9495,3.155,23.7135,147.7601,0.452,30.1646,113.1718,9.153,80.5426,170.0369,3.128,192.8578,89.8865,0.222,16.6114,118.925,2.54,78.0934,100.7358,6.606,236.3306,97.3979,-3.509,3.6901,47.5211,-1.716,16.5863,122.0276,-4.739,3.6724,38.457,2.382,2.9352,73.3174,-6.422,6.5187,37.1016,-1.517,4.2947,70.3361,14.949,277.2194,128.9687,0.09,8.9866,103.9626,-3.169,2.9068,38.1032,1.566,235.124,62.2563,-1.413,12.1735,106.0095
1980-01-01T13:00:00Z,-1.951,25.6048,93.0584,1.479,11.537,92.952,0.674,6.9724,75.7916,-2.342,18.6006,108.337,-0.719,3.4746,57.5266,-0.527,6.6458,74.2498,-0.835,2.9515,39.5156,-6.479,0.0279,0.9063,13.648,209.1126,138.92,-7.309,0.0008,0.0636,3.151,15.8679,120.8062,0.498,29.5444,98.2871,8.99,57.7248,117.5011,3.001,108.8942,78.4935,0.175,9.4567,76.2637,2.6,75.1181,91.7473,6.404,146.9166,93.8883,-4.499,0.4163,11.2044,-1.538,10.5183,92.9998,-5.531,0.3292,6.2494,2.498,2.6179,60.6666,-6.728,1.9686,16.4979,-1.899,1.501,34.9995,14.995,233.2561,138.6178,-0.467,4.8693,60.1413,-3.506,0.8435,14.6211,1.341,151.2525,55.368,-1.626,5.2876,62.4687
1980-01-01T14:00:00Z,-2.76,3.8573,34.6902,0.896,3.4465,47.3594,-0.418,1.2198,17.6919,-2.932,2.9679,47.9971,-1.287,0.4822,14.7638,-1.036,1.4056,28.5344,-1.447,0.2689,6.5204,-6.636,0,0,13.585,154.5163,118.2808,-7.322,0,0,2.572,5.9761,72.5468,-0.033,16.645,65.2743,8.348,13.8786,49.0936,1.672,22.9298,45.3689,-0.487,1.7777,21.2382,2.21,45.1103,72.372,5.331,44.4905,71.2352,-5.269,0,0.0013,-1.94,4.1189,50.1766,-6.231,0,0,2.341,1.1229,31.0678,-7.329,0.0424,0.9847,-2.668,0.1223,4.3374,14.749,166.7176,131.8933,-1.392,0.3735,8.0982,-3.907,0.0222,0.8375,-0.114,42.4479,39.5835,-2.265,0.7172,13.6171
1980-01-01T15:00:00Z,-3.71,0.0268,0.7053,0.044,0.2044,5.748,-1.232,0,0,-4.007,0.1936,6.2293,-1.883,0.0002,0.0144,-1.726,0.0404,1.4596,-1.711,0,0,-6.668,0,0,12.888,65.3938,87.12,-7.267,0,0,1.482,0.8889,20.8053,-1.575,2.5998,17.3498,7.307,0.0375,0.5648,0.087,0.168,1.4105,-1.515,0.0005,0.0118,0.985,10.4924,34.6537,3.89,2.5936,12.8176,-5.535,0,0,-3.203,0.389,7.1739,-6.402,0,0,1.972,0.0485,2.3136,-7.728,0,0,-3.052,0,0,14.371,99.5148,102.586,-2.095,0,0,-4.136,0,0,-1.756,0.4768,2.0228,-2.938,0,0.0001
1980-01-01T16:00:00Z,-4.171,0,0,-0.094,0,0,-1.645,0,0,-4.784,0,0,-2.363,0,0,-2.077,0,0,-1.755,0,0,-6.809,0,0,11.2,9.0642,27.3072,-7.293,0,0,0.635,0.0045,0.2522,-2.443,0.0003,0.0167,6.616,0,0,-0.556,0,0,-2.322,0,0,-0.182,0.098,0.9893,3.257,0,0.0006,-5.836,0,0,-4.235,0,0,-6.687,0,0,1.986,0,0,-8.009,0,0,-3.22,0,0,13.569,28.0967,51.8308,-2.629,0,0,-4.379,0,0,-2.585,0,0,-3.401,0,0
1980-01-01T17:00:00Z,-4.452,0,0,0.01,0,0,-1.901,0,0,-5.139,0,0,-2.738,0,0,-2.263,0,0,-1.783,0,0,-6.95,0,0,10.019,0.8931,2.8418,-7.379,0,0,0.328,0,0,-2.494,0,0,6.118,0,0,-0.953,0,0,-2.929,0,0,-0.477,0,0,3.024,0,0,-5.946,0,0,-4.402,0,0,-7.077,0,0,2.101,0,0,-8.206,0,0,-3.385,0,0,11.957,2.0884,4.4303,-3.115,0,0,-4.64,0,0,-3.171,0,0,-3.788,0,0
1980-01-01T18:00:00Z,-4.706,0,0,0.061,0,0,-2.055,0,0,-5.383,0,0,-3.082,0,0,-2.462,0,0,-1.845,0,0,-7.128,0,0,9.542,0.003,0.0491,-7.461,0,0,0.044,0,0,-2.611,0,0,5.562,0,0,-1.287,0,0,-3.256,0,0,-0.581,0,0,2.884,0,0,-6.021,0,0,-4.388,0,0,-7.447,0,0,2.164,0,0,-8.356,0,0,-3.569,0,0,11.546,0.0287,0.2282,-3.469,0,0,-4.905,0,0,-3.557,0,0,-4.181,0,0
1980-01-01T19:00:00Z,-5.025,0,0,0.068,0,0,-2.214,0,0,-5.603,0,0,-3.273,0,0,-2.57,0,0,-1.878,0,0,-7.384,0,0,9.052,0,0,-7.533,0,0,-0.23,0,0,-2.717,0,0,4.882,0,0,-1.602,0,0,-3.506,0,0,-0.665,0,0,2.688,0,0,-6,0,0,-4.308,0,0,-7.76,0,0,2.163,0,0,-8.543,0,0,-3.74,0,0,11.198,0,0,-3.771,0,0,-5.138,0,0,-3.859,0,0,-4.498,0,0
1980-01-01T20:00:00Z,-5.346,0,0,0.137,0,0,-2.441,0,0,-5.798,0,0,-3.466,0,0,-2.65,0,0,-1.853,0,0,-7.649,0,0,8.636,0,0,-7.75,0,0,-0.5,0,0,-2.755,0,0,4.591,0,0,-1.883,0,0,-3.748,0,0,-0.767,0,0,2.464,0,0,-6.007,0,0,-4.159,0,0,-7.746,0,0,2.056,0,0,-8.707,0,0,-3.918,0,0,10.969,0,0,-4.057,0,0,-5.315,0,0,-4.072,0,0,-4.736,0,0
